picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Okeoghene Enebeli,https://pureportal.coventry.ac.uk/en/persons/okeoghene-enebeli-2,International Centre for Transformational Entrepreneurship,https://pureportal.coventry.ac.uk/en/organisations/international-centre-for-transformational-entrepreneurship-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Ikenna Stanley Enebuse,https://pureportal.coventry.ac.uk/en/persons/ikenna-stanley-enebuse,Centre for Manufacturing and Materials,https://pureportal.coventry.ac.uk/en/organisations/centre-for-manufacturing-and-materials
https://pureportal.coventry.ac.uk//files-asset/54492844/ME_2021_LowRes.jpg,Matthew England,https://pureportal.coventry.ac.uk/en/persons/matthew-england,Research Centre for Computational Science and Mathematical Modelling,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-computational-science-and-mathematical-modell
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,John Ayuk Enombu,https://pureportal.coventry.ac.uk/en/persons/john-ayuk-enombu,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sarah Erian,https://pureportal.coventry.ac.uk/en/persons/sarah-erian,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/58195751/Julio_Escudero.jpg,Julio Escudero,https://pureportal.coventry.ac.uk/en/persons/julio-escudero,Research Centre for Dance Research (CDaRE),https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-dance-research-cdare
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Azzouz Essamri,https://pureportal.coventry.ac.uk/en/persons/azzouz-essamri,School of Marketing and Management,https://pureportal.coventry.ac.uk/en/organisations/school-of-marketing-and-management
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Rosemarie Essay,https://pureportal.coventry.ac.uk/en/persons/rosemarie-essay,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/53979183/20210623_111927.jpg,Martin Esugo,https://pureportal.coventry.ac.uk/en/persons/martin-esugo,Centre for Future Transport and Cities,https://pureportal.coventry.ac.uk/en/organisations/centre-for-future-transport-and-cities
https://pureportal.coventry.ac.uk//files-asset/19247094/2_Coventry_University_EDGE_Get_Into_Games_Example.jpg,Jason Etienne,https://pureportal.coventry.ac.uk/en/persons/jason-etienne,School of Art and Design,https://pureportal.coventry.ac.uk/en/organisations/school-of-art-and-design
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Steven Eustace,https://pureportal.coventry.ac.uk/en/persons/steven-eustace,School of Life Sciences,https://pureportal.coventry.ac.uk/en/organisations/school-of-life-sciences
https://pureportal.coventry.ac.uk//files-asset/77288/photo.jpeg,Adrian Evans,https://pureportal.coventry.ac.uk/en/persons/adrian-evans,"Centre for Agroecology, Water and Resilience",https://pureportal.coventry.ac.uk/en/organisations/centre-for-agroecology-water-and-resilience-2
https://pureportal.coventry.ac.uk//files-asset/27859184/IMG_0428.jpg,Adrienne Evans,https://pureportal.coventry.ac.uk/en/persons/ady-evans,Research Centre in Postdigital Cultures,https://pureportal.coventry.ac.uk/en/organisations/research-centre-in-postdigital-cultures
https://pureportal.coventry.ac.uk//files-asset/22875881/20190402_093657.jpg,Hala Evans,https://pureportal.coventry.ac.uk/en/persons/hala-evans,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/52856/photo.jpeg,Mark Evans,https://pureportal.coventry.ac.uk/en/persons/mark-evans,Research Centre for Dance Research (CDaRE),https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-dance-research-cdare
https://pureportal.coventry.ac.uk//files-asset/112314/photo.jpeg,Emma Eyre,https://pureportal.coventry.ac.uk/en/persons/emma-eyre,School of Life Sciences,https://pureportal.coventry.ac.uk/en/organisations/school-of-life-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Godswill Ezeonyeka,https://pureportal.coventry.ac.uk/en/persons/godswill-ezeonyeka,Research Centre in Postdigital Cultures,https://pureportal.coventry.ac.uk/en/organisations/research-centre-in-postdigital-cultures
https://pureportal.coventry.ac.uk//files-asset/41271251/Profile_Pic_2.jpg,Leonardo Faedo,https://pureportal.coventry.ac.uk/en/persons/leonardo-faedo,"Centre for Agroecology, Water and Resilience",https://pureportal.coventry.ac.uk/en/organisations/centre-for-agroecology-water-and-resilience-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Mahboobeh Fallah,https://pureportal.coventry.ac.uk/en/persons/mahboobeh-fallah,Research Centre for Fluid and Complex Systems,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-fluid-and-complex-systems
https://pureportal.coventry.ac.uk//files-asset/13210526/my_picture.jpg,Yueping Fang,https://pureportal.coventry.ac.uk/en/persons/yueping-fang,"School of Energy, Construction and Environment",https://pureportal.coventry.ac.uk/en/organisations/school-of-energy-construction-and-environment
https://pureportal.coventry.ac.uk//files-asset/54917712/LinkedIn.jpg,Majdi Fanous,https://pureportal.coventry.ac.uk/en/persons/majdi-fanous,Research Centre for Computational Science and Mathematical Modelling,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-computational-science-and-mathematical-modell
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Abunur Muslehuddin Faradhi,https://pureportal.coventry.ac.uk/en/persons/abunur-muslehuddin-faradhi,"Centre for Trust, Peace and Social Relations",https://pureportal.coventry.ac.uk/en/organisations/centre-for-trust-peace-and-social-relations-3
